StudyHours,Attendance,AssignmentMarks,InternalMarks,Result
3,69,6,18,Fail
1,58,24,31,Pass
9,77,7,12,Pass
1,63,24,47,Excellent
9,60,25,45,Excellent
8,99,15,18,Excellent
4,70,12,38,Excellent
3,89,25,39,Excellent
5,81,12,35,Excellent
8,93,18,27,Excellent
4,73,8,26,Pass
5,67,13,33,Excellent
3,66,17,47,Excellent
10,89,6,19,Excellent
2,55,16,29,Pass
2,91,15,48,Excellent
7,53,14,31,Excellent
4,83,7,30,Pass
10,60,18,19,Excellent
2,51,25,34,Excellent
10,57,23,46,Excellent
5,98,17,16,Excellent
1,76,15,44,Excellent
5,93,7,13,Pass
1,76,15,48,Excellent
3,81,17,40,Excellent
3,55,20,22,Pass
4,93,24,33,Excellent
7,78,8,44,Excellent
9,86,24,26,Excellent
6,99,13,48,Excellent
6,69,22,29,Excellent
8,95,23,48,Excellent
10,71,8,40,Excellent
7,86,12,32,Excellent
9,88,8,30,Excellent
1,52,20,10,Fail
2,87,24,47,Excellent
5,80,24,42,Excellent
8,74,5,15,Pass
4,68,11,11,Pass
1,73,16,41,Excellent
7,74,25,16,Excellent
9,54,15,47,Excellent
5,61,6,15,Fail
7,76,14,23,Excellent
9,51,17,49,Excellent
1,90,7,25,Pass
1,54,6,14,Fail
10,71,20,45,Excellent
4,80,18,18,Pass
6,61,14,15,Pass
3,53,23,12,Pass
5,55,6,12,Fail
5,96,11,14,Pass
3,65,20,39,Excellent
7,96,8,24,Excellent
5,54,15,20,Pass
7,77,8,43,Excellent
5,64,13,33,Excellent
7,73,14,43,Excellent
7,54,7,31,Pass
3,71,10,23,Pass
6,60,12,16,Pass
10,88,11,43,Excellent
7,55,9,48,Excellent
8,92,6,44,Excellent
3,83,23,45,Excellent
10,55,11,32,Excellent
7,78,8,34,Excellent
2,70,16,14,Pass
9,74,15,43,Excellent
8,59,11,24,Excellent
10,81,20,26,Excellent
8,88,5,15,Pass
9,72,13,48,Excellent
3,85,20,34,Excellent
4,54,14,50,Excellent
7,66,6,14,Pass
8,60,6,16,Pass
8,53,17,21,Excellent
8,67,22,14,Excellent
8,80,17,12,Excellent
2,83,24,30,Excellent
10,76,11,29,Excellent
10,65,13,36,Excellent
4,93,5,13,Pass
8,55,17,17,Excellent
4,74,15,16,Pass
3,95,18,13,Pass
10,94,13,45,Excellent
5,61,17,10,Pass
2,62,12,33,Pass
4,78,11,32,Excellent
7,74,9,48,Excellent
9,82,5,38,Excellent
10,77,18,38,Excellent
4,99,8,32,Excellent
6,90,16,39,Excellent
1,67,19,32,Pass
10,83,22,25,Excellent
7,88,25,17,Excellent
1,65,23,32,Excellent
10,63,13,29,Excellent
7,53,17,41,Excellent
1,66,15,24,Pass
5,72,13,47,Excellent
5,70,11,26,Pass
1,85,12,25,Pass
2,53,8,31,Pass
4,71,18,43,Excellent
2,72,11,36,Pass
1,93,23,37,Excellent
3,69,14,14,Pass
4,94,15,42,Excellent
8,77,11,40,Excellent
9,61,18,47,Excellent
3,91,7,17,Pass
1,69,21,48,Excellent
10,70,24,39,Excellent
4,80,5,33,Pass
6,90,18,12,Excellent
2,55,12,17,Fail
6,96,10,48,Excellent
10,66,19,37,Excellent
8,88,24,12,Excellent
8,99,22,17,Excellent
2,52,15,10,Fail
6,56,7,24,Pass
1,89,17,48,Excellent
4,76,6,27,Pass
1,84,17,42,Excellent
10,68,19,37,Excellent
6,87,8,46,Excellent
5,81,25,10,Excellent
10,64,24,29,Excellent
3,72,11,15,Pass
5,84,22,38,Excellent
5,97,10,12,Pass
4,100,20,10,Excellent
1,56,25,24,Pass
9,59,20,41,Excellent
6,95,22,18,Excellent
4,88,14,15,Pass
5,97,9,40,Excellent
7,70,21,47,Excellent
9,80,9,50,Excellent
2,80,19,16,Pass
5,85,23,20,Excellent
6,95,20,44,Excellent
5,85,5,17,Pass
5,73,24,30,Excellent
2,97,21,27,Excellent
2,84,17,30,Excellent
3,84,14,19,Pass
9,73,22,40,Excellent
6,61,22,15,Excellent
2,78,7,31,Pass
7,99,6,13,Pass
3,54,12,21,Pass
10,78,7,44,Excellent
8,55,20,43,Excellent
5,93,5,42,Excellent
3,68,6,18,Fail
2,74,9,19,Pass
6,89,13,44,Excellent
10,82,10,24,Excellent
7,66,18,28,Excellent
5,69,16,47,Excellent
1,57,18,31,Pass
2,72,5,36,Pass
8,74,12,39,Excellent
9,77,12,36,Excellent
9,84,8,39,Excellent
8,98,6,17,Excellent
5,85,21,16,Excellent
3,99,18,49,Excellent
4,100,7,40,Excellent
7,65,6,26,Pass
3,92,20,30,Excellent
5,64,7,18,Pass
9,79,8,11,Pass
9,77,7,48,Excellent
2,68,9,27,Pass
5,53,16,35,Excellent
3,59,6,35,Pass
2,60,12,47,Excellent
3,84,15,46,Excellent
9,90,20,32,Excellent
3,54,20,37,Excellent
8,81,5,37,Excellent
8,66,14,20,Excellent
3,53,12,35,Pass
7,92,19,29,Excellent
1,64,14,48,Excellent
2,74,6,29,Pass
1,59,22,12,Pass
8,70,24,29,Excellent
8,76,12,46,Excellent
8,62,24,38,Excellent
5,56,22,13,Pass
2,100,25,38,Excellent
9,68,5,37,Excellent
3,58,25,17,Pass
9,98,24,36,Excellent
5,94,10,24,Excellent
8,58,8,30,Excellent
4,63,18,45,Excellent
8,84,20,19,Excellent
5,60,12,31,Pass
2,83,22,29,Excellent
10,62,17,17,Excellent
3,58,22,35,Excellent
1,70,13,42,Pass
5,72,22,34,Excellent
5,73,16,30,Excellent
1,92,14,13,Pass
5,59,15,13,Pass
10,69,20,50,Excellent
10,64,12,28,Excellent
3,79,22,43,Excellent
6,55,11,17,Pass
3,54,20,43,Excellent
2,65,25,27,Excellent
4,73,16,17,Pass
3,90,17,10,Pass
10,61,13,13,Excellent
4,77,6,40,Excellent
7,95,10,37,Excellent
4,53,11,22,Pass
10,76,25,11,Excellent
2,82,24,48,Excellent
10,54,5,25,Pass
8,68,10,50,Excellent
5,92,25,44,Excellent
8,87,25,39,Excellent
7,70,18,47,Excellent
